perturbation,mean_uncertainty,max_predicted_effect
HES7,0.002734138397499919,1.7706218957901
HK2,0.004605478141456842,0.19148071110248566
HNF4A,0.003495300654321909,0.7731730937957764
HOXA13,0.0029807062819600105,1.1762040853500366
HOXB9,0.008796964772045612,0.6360700726509094
HOXC13,0.004390839487314224,0.29136282205581665
IER5L,0.0068509262055158615,0.9663326144218445
IGDCC3,0.005916062276810408,1.1245150566101074
IGDCC3_MAPK1,0.006405296269804239,1.1174832582473755
IGDCC3_PRTG,0.009131825529038906,1.2531782388687134
IGDCC3_ZBTB25,0.009907227009534836,1.9053468704223633
IKZF3,0.007814601995050907,2.7339513301849365
IRF1,0.004715702962130308,0.2550482451915741
IRF1_SET,0.010397357866168022,0.8442949056625366
ISL2,0.0038656501565128565,0.3838496506214142
JUN,0.008616084232926369,0.1822899878025055
JUN_CEBPA,0.013434063643217087,1.6568138599395752
JUN_CEBPB,0.01203607115894556,0.8259592056274414
KIAA1804,0.004406312946230173,0.32183992862701416
KIF18B,0.005241963546723127,0.2608475983142853
KIF18B_KIF2C,0.008429874666035175,0.26305559277534485
KIF2C,0.005811640992760658,0.17245447635650635
KLF1,0.005429569166153669,1.3512356281280518
KLF1_BAK1,0.008070077747106552,1.2154197692871094
KLF1_CEBPA,0.004080034792423248,1.5204378366470337
KLF1_CLDN6,0.0035740251187235117,2.0178723335266113
KLF1_COL2A1,0.01909010298550129,1.1216992139816284
KLF1_FOXA1,0.009386115707457066,1.3342854976654053
KLF1_MAP2K6,0.005408993922173977,1.361253023147583
KLF1_TGFBR2,0.004293138161301613,1.6288121938705444
KMT2A,0.005080744158476591,0.32466965913772583
LHX1,0.004077485296875238,1.650800108909607
LHX1_ELMSAN1,0.0040228161960840225,1.6691049337387085
LYL1,0.007611605804413557,0.88407963514328
LYL1_CEBPB,0.017221149057149887,0.7163658738136292
LYL1_IER5L,0.007804019842296839,1.0726897716522217
MAML2,0.003945205360651016,0.19011858105659485
MAP2K3,0.003951153717935085,0.2958609163761139
MAP2K3_ELMSAN1,0.011305536143481731,0.7638828158378601
MAP2K3_IKZF3,0.004975578282028437,2.648690700531006
MAP2K3_MAP2K6,0.004173771012574434,0.29631948471069336
MAP2K3_SLC38A2,0.003810710972175002,0.339211642742157
MAP2K6,0.004306607414036989,0.28608617186546326
MAP2K6_ELMSAN1,0.005144829861819744,0.518337607383728
MAP2K6_IKZF3,0.007880652323365211,2.757941722869873
