candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
MAP2K6_TBX3,MAP2K6,TBX3,0.35510635,0.14285714285714285,0.011233647353947163,0.05016593271127761,0.7894838420662774
PTPN13_TBX3,PTPN13,TBX3,0.3549277,0.14285714285714285,0.011212188750505447,0.050141756707661966,0.7891033734257333
FOXA1_GLB1L2,FOXA1,GLB1L2,0.1762829,0.2857142857142857,0.004901898559182882,0.05012085482298416,0.7887744310672441
MAP4K3_TBX3,MAP4K3,TBX3,0.35478115,0.14285714285714285,0.01129581406712532,0.05011691024565641,0.7887123534800105
CDKN1C_CKS1B,CDKN1C,CKS1B,0.35560665,0.14285714285714285,0.014110720716416836,0.050094085682488416,0.7883531530655169
HNF4A_UBASH3A,HNF4A,UBASH3A,0.3534961,0.14285714285714285,0.008237645961344242,0.050086845794005116,0.7882392156847684
ARRDC3_SET,ARRDC3,SET,0.35526383,0.14285714285714285,0.013287271372973919,0.05008646317613229,0.7882331942552453
HK2_MAML2,HK2,MAML2,0.11783591,0.42857142857142855,0.00857278611510992,0.05007184866310409,0.7880031990917579
CSRNP1_ZBTB25,CSRNP1,ZBTB25,0.17677864,0.2857142857142857,0.009128843434154987,0.050051273849731216,0.7876794040014741
DLX2_POU3F2,DLX2,POU3F2,0.1766701,0.2857142857142857,0.009240559302270412,0.05001500601809014,0.7871086408257509
FOXO4_TBX3,FOXO4,TBX3,0.3539374,0.14285714285714285,0.011237052269279957,0.050000624295075416,0.7868823091833882
CITED1_CKS1B,CITED1,CKS1B,0.35534772,0.14285714285714285,0.015589943155646324,0.049984701736811674,0.7866317287238176
FOXF1_TBX3,FOXF1,TBX3,0.3538084,0.14285714285714285,0.011214706115424633,0.04998350722939509,0.7866129302234478
CBFA2T3_IRF1,CBFA2T3,IRF1,0.17588055,0.2857142857142857,0.00623756879940629,0.049940081403028025,0.7859295184658615
CBFA2T3_TBX3,CBFA2T3,TBX3,0.35526416,0.14285714285714285,0.016472939401865005,0.0499295362122985,0.7857635640573113
FOXA1_SLC6A9,FOXA1,SLC6A9,0.17650135,0.2857142857142857,0.010143060237169266,0.049922588920439596,0.7856542314012179
ARRDC3_TBX3,ARRDC3,TBX3,0.35398728,0.14285714285714285,0.013192825019359589,0.04991114197372532,0.7854740856532274
CBFA2T3_MAP7D1,CBFA2T3,MAP7D1,0.1757254,0.2857142857142857,0.006083642598241568,0.0499036612315366,0.7853563578494078
POU3F2_TBX2,POU3F2,TBX2,0.35299125,0.14285714285714285,0.011193671263754368,0.04986910352571339,0.7848125076927024
CDKN1A_FEV,CDKN1A,FEV,0.11770847,0.42857142857142855,0.012093799188733101,0.04984368630150568,0.7844125054055396
CBFA2T3_RHOXF2,CBFA2T3,RHOXF2,0.1755824,0.2857142857142857,0.006645597983151674,0.04983521349254348,0.784279165000786
ELMSAN1_SNAI1,ELMSAN1,SNAI1,0.17627853,0.2857142857142857,0.011051919311285019,0.04981474617373603,0.7839570616008174
CITED1_ETS2,CITED1,ETS2,0.35340843,0.14285714285714285,0.014912980608642101,0.04974507073143113,0.7828605478330952
KIF18B_POU3F2,KIF18B,POU3F2,0.17516972,0.2857142857142857,0.006567017175257206,0.0497219667747074,0.7824969504765751
FOXA1_TBX3,FOXA1,TBX3,0.3532174,0.14285714285714285,0.01501682959496975,0.0497130945251439,0.7823573238954552
CBFA2T3_SPI1,CBFA2T3,SPI1,0.17554633,0.2857142857142857,0.009469724260270596,0.04968558639534876,0.7819244160868092
ATL1_COL2A1,ATL1,COL2A1,0.35343075,0.14285714285714285,0.016256332397460938,0.04968245239467117,0.7818750949088253
CSRNP1_IER5L,CSRNP1,IER5L,0.17572576,0.2857142857142857,0.010866842232644558,0.04966762916005224,0.781641814999805
CBFA2T3_FOSB,CBFA2T3,FOSB,0.17491634,0.2857142857142857,0.0062926593236625195,0.04966358168560971,0.7815781180744047
CKS1B_COL2A1,CKS1B,COL2A1,0.35333154,0.14285714285714285,0.017613323405385017,0.049602272848759954,0.7806132733390873
KMT2A_TBX3,KMT2A,TBX3,0.35221562,0.14285714285714285,0.014622663147747517,0.049591359102959344,0.7804415188136488
HK2_TBX2,HK2,TBX2,0.35102102,0.14285714285714285,0.011821229942142963,0.049560000072430874,0.7799480076484607
CBFA2T3_JUN,CBFA2T3,JUN,0.17505968,0.2857142857142857,0.009812850505113602,0.049531009938491743,0.779491776874162
HNF4A_LYL1,HNF4A,LYL1,0.35131687,0.14285714285714285,0.014584315940737724,0.049466686396886506,0.7784794883744329
BCL2L11_CBFA2T3,BCL2L11,CBFA2T3,0.17408971,0.2857142857142857,0.006357865408062935,0.04942567673809902,0.7778341009325666
LYL1_SPI1,LYL1,SPI1,0.17453341,0.2857142857142857,0.010307952761650085,0.04935791009729361,0.7767676268324059
MAP4K5_TBX3,MAP4K5,TBX3,0.35003152,0.14285714285714285,0.013105020858347416,0.049357670258404415,0.7767638523799542
